商家名稱,優惠名稱,優惠內容,地址,聯絡資訊,圖片網址,特約期限,,,,,測試用照片
津鹿堂鮮萃茶舖 ,外送滿$300、到店點餐享9折,1.憑證享九折優惠2.外送滿$300享九折優惠＊如遇店活動則優惠擇一,台中市西區向上路一段27-12號,04-2301-9828,https://drive.google.com/file/d/1U2FeN2VhiAhrgmU-GEvUBP6NZ7vIupFT/view?usp=drive_link,店家提出終止,,,,,https://drive.google.com/file/d/1ybmv7oMxzK3RkGkihPMFp7Ais0aV0Xmm/view?usp=drive_link
吃光Cacti,9折優惠,憑學生證，平日餐點（含套餐）、點心享9折，假日僅點心9折。（其餘活動不適用此優惠）,台中市西屯區惠中路98號,04-2317-5298,https://drive.google.com/file/d/1gJvc97zHpJ-HV_02mBPsWCv60iyd6gaa/view?usp=sharing,無限期,,,,,https://drive.google.com/file/d/1CJrxIzK_Vi794WFYnNNhleb8Q7sUao1s/view?usp=drive_link
統元豆花（一中店）,95折優惠,憑證享95折優惠（外送不適用）,台中市北區育才北路42號,04-2225-5128,無,店家提出終止,,,,,https://drive.google.com/file/d/1zgMihblfMf0Lq0pCHQz9jNRsXXATFhcR/view?usp=drive_link
酒石拉麵（民權店）,折價優惠,憑證可享每碗折五元優惠,台中市西區民權路211-1號,04-2305-7313,無,店家提出終止,,,,,https://drive.google.com/file/d/1MeglEo6WCYTPQfgVzDnDwGfJQ1Mb8gpt/view?usp=drive_link
脆皮便便燒(一中店),折價優惠,憑證每份折5元,台中市北區育才南街37號,無,無,店家提出終止,,,,,
Straight A（中興大學校園門市）,8折優惠,憑證消費副廠周邊配件(apple原廠商品、儲值類型、網卡除外)現金8折,台中市南區國光路250號,04-2285-6085,無,店家提出終止,,,,,
不二號BU ER HAO （逢甲總店）,9折優惠和外送福利,憑證享九折優惠，滿25杯可外送,台中市西屯區河南路二段280號,04-2452-6102,https://drive.google.com/file/d/1i6dyghM6ttPX8HxsaITAJnR6oM5_ItPR/view?usp=drive_link,店家提出終止,,,,,
loop迴圈密室逃脫(文心本館),平日75折優惠和假日85折優惠,憑學生證平日可享七五折優惠，假日可享大主題八五折優惠,台中市北屯區文心路四段81號17樓(華南銀行樓上),04-2293-7588,無,無限期,,,,,
loop迴圈密室逃脫(旗艦店),平日75折優惠和假日85折優惠,憑學生證平日可享七五折優惠，假日可享大主題八五折優惠,台中市北屯區文心路四段188號,04-2299-2007,無,無限期,,,,,
騎士派機車出租,折價優惠,大型車種網路預約憑學生證一天現折100元(上述車種為RacingS150、Jets125、勁戰五代125、FNX125、BWSR gogoro2&3代、Force155),台南市北區北門路二段49號,06-223-4588,無,店家提出終止,,,,,
